,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,John Wall\walljo01,Kentucky,9,573,20545,10879,2483,5282,.433,.324,.781,35.9,19.0,4.3,9.2,44.3,.104,2.6,23.6
2,2,PHI,Evan Turner\turneev01,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5
3,3,NJN,Derrick Favors\favorde01,Georgia Tech,10,683,17510,7779,5048,782,.530,.207,.661,25.6,11.4,7.4,1.1,53.6,.147,0.9,12.7
4,4,MIN,Wesley Johnson\johnswe01,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2
5,5,SAC,DeMarcus Cousins\couside01,Kentucky,9,565,18078,12006,6131,1832,.461,.332,.737,32.0,21.2,10.9,3.2,44.1,.117,2.6,21.1
6,6,GSW,Ekpe Udoh\udohek01,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8
7,7,DET,Greg Monroe\monrogr01,Georgetown,9,632,17475,8326,5229,1354,.514,.059,.704,27.7,13.2,8.3,2.1,49.7,.136,1.4,15.2
8,8,LAC,Al-Farouq Aminu\aminual01,Wake Forest,10,688,17264,5248,4170,848,.421,.335,.745,25.1,7.6,6.1,1.2,27.5,.076,-0.5,6.7
9,9,UTA,Gordon Hayward\haywago01,Butler,10,641,19772,9813,2820,2218,.451,.366,.823,30.8,15.3,4.4,3.5,53.7,.130,2.2,21.0
10,10,IND,Paul George\georgpa01,Fresno State,10,652,21843,13016,4163,2185,.433,.381,.846,33.5,20.0,6.4,3.4,70.0,.154,4.1,33.6
11,11,NOH,Cole Aldrich\aldrico01,Kansas,8,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8
12,12,MEM,Xavier Henry\henryxa01,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7
13,13,TOR,Ed Davis\davised01,UNC,10,668,13256,4215,4437,511,.568,.000,.583,19.8,6.3,6.6,0.8,41.9,.152,-0.1,6.2
14,14,HOU,Patrick Patterson\pattepa01,Kentucky,10,681,14341,4585,2724,707,.448,.369,.755,21.1,6.7,4.0,1.0,30.6,.103,0.0,7.2
15,15,MIL,Larry Sanders\sandela01,Virginia Commonwealth,6,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1
16,16,MIN,Luke Babbitt\babbilu01,Nevada,8,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.1,-0.1
17,17,CHI,Kevin S�raphin\serapke01,,7,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-4.3,-3.6
18,18,OKC,Eric Bledsoe\bledser01,Kentucky,10,631,17549,8945,2511,3052,.457,.336,.793,27.8,14.2,4.0,4.8,42.4,.116,2.2,18.4
19,19,BOS,Avery Bradley\bradlav01,Texas,10,571,16143,6712,1670,1012,.436,.364,.780,28.3,11.8,2.9,1.8,16.1,.048,-2.2,-0.7
20,20,SAS,James Anderson\anderja01,Oklahoma State,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8
21,21,OKC,Craig Brackins\brackcr01,Iowa State,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.9,-0.2
22,22,POR,Elliot Williams\williel01,Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-4.9,-1.1
23,23,MIN,Trevor Booker\booketr01,Clemson,8,532,10872,3679,2932,566,.515,.305,.636,20.4,6.9,5.5,1.1,26.2,.116,-0.5,4.2
24,24,ATL,Damion James\jamesda01,Texas,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-3.7,-0.3
25,25,MEM,Dominique Jones\jonesdo02,South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-2.4,-0.1
26,26,OKC,Quincy Pondexter\pondequ01,Washington,7,355,5530,1609,640,263,.423,.356,.746,15.6,4.5,1.8,0.7,9.7,.084,-1.8,0.3
27,27,NJN,Jordan Crawford\crawfjo02,Xavier,6,281,6843,3432,703,883,.411,.317,.826,24.4,12.2,2.5,3.1,6.3,.044,-1.3,1.3
28,28,MEM,Greivis V�squez\vasqugr01,Maryland,7,401,9520,3591,1021,1935,.418,.349,.817,23.7,9.0,2.5,4.8,12.6,.064,-1.2,1.9
29,29,ORL,Daniel Orton\ortonda01,Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093,-3.5,-0.2
30,30,WAS,Lazar Hayward\haywala01,Marquette,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.2,-0.3
31,31,NJN,Tibor Plei�\pleisti01,,1,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-.041,-11.6,-0.2
32,32,MIA,Dexter Pittman\pittmde01,Texas,4,50,347,116,89,9,.450,,.545,6.9,2.3,1.8,0.2,0.5,.068,-7.7,-0.5
33,33,SAC,Hassan Whiteside\whiteha01,Marshall,8,410,10937,5623,4814,281,.582,.320,.608,26.7,13.7,11.7,0.7,45.3,.199,2.8,13.3
34,34,POR,Armon Johnson\johnsar02,Nevada,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-4.1,-0.2
35,35,WAS,Nemanja Bjelica\bjeline01,,5,341,7435,2737,1630,598,.466,.393,.772,21.8,8.0,4.8,1.8,16.0,.104,0.4,4.4
36,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,
37,37,MIL,Darington Hobson\hobsoda01,New Mexico,1,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-.225,-13.0,-0.1
38,38,NYK,Andy Rautins\rautian01,Syracuse,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-13.2,-0.1
39,39,NYK,Landry Fields\fieldla01,Stanford,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.3,2.6
40,40,IND,Lance Stephenson\stephla01,Cincinnati,9,508,11866,4354,2124,1456,.444,.315,.685,23.4,8.6,4.2,2.9,16.7,.068,-1.2,2.5
41,41,MIA,Jarvis Varnado\varnaja01,Mississippi State,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089,-3.3,-0.1
42,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,
43,43,LAL,Devin Ebanks\ebankde01,West Virginia,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.8,-0.5
44,44,MIL,Jerome Jordan\jordaje01,Tulsa,2,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,-1.0,0.1
45,45,MIN,Paulo Prestes\prestpa01,,,,,,,,,,,,,,,,,,
46,46,PHO,Gani Lawal\lawalga01,Georgia Tech,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-.009,-15.0,0.0
47,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,
48,48,MIA,Latavious Williams\willila01,,,,,,,,,,,,,,,,,,
49,49,SAS,Ryan Richards\richary01,,,,,,,,,,,,,,,,,,
50,50,DAL,Solomon Alabi\alabiso01,Florida State,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-4.4,-0.1
51,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,
52,52,BOS,Luke Harangody\haranlu01,Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.5,-0.3
53,53,ATL,Pape Sy\sypa01,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0
54,54,LAC,Willie Warren\warrewi01,Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-2.7,0.0
55,55,UTA,Jeremy Evans\evansje01,Western Kentucky,7,250,2626,879,641,107,.569,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,0.9,1.9
56,56,MIN,Hamady N'Diaye\ndiayha01,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-7.3,-0.2
